Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
6jr8X6ZC;Tundrallis;therealchromedino;2246275;0;131704220000051630;58632277882;8;Ice World;League of Independent States;Human;1;2022-04-19 00:00:00;2022-04-22 00:00:00;4;123;-210;-68;-1/-2;web.apeappslauncher;0;lis;1
6N3GRUvo;Cancatanate;Andronimo1;4729587;0;35552706308007976;7517084749;0;Red Planet;United Earth;Human;1;2020-01-09 00:00:00;2020-01-21 00:00:00;4;123;338;-926;0/1;web.apewebapps;0;earth;1
7jB77SwMu8;Terra Divitiae;therealchromedino;1856;47;11955840;6442;0;Desert World;Alpha Draconians;Reptilian;1;2023-05-10 00:00:00;2023-05-13 00:00:00;3;123;-839;987;106/-87;web.apeappslauncher;0;6jr8X6ZC;1
8J6fDuiX;New Bajor ;rjoster;1223480;4;1625342461026541;1328458545;21;Earthlike;United Earth;Human;1;2022-09-04 00:00:00;2022-11-11 00:00:00;4;123;973;-118;-1/0;android.gplay;1;wsrQCAtS;1
8Yat5ZdXAV;nightmares;m1c0lash;80882;43;3099590208;38322;1;Earthlike;United Earth;Human;1;2023-02-08 00:00:00;2023-04-30 00:00:00;4;123;-164;-495;-3/-37;web.apewebapps;0;aie0jW9zN9;0
AgH9AN7Fp7;Chiss;aegonunlikley;239329;1;7009673828;29289;3;Red Planet;United Earth;Human;1;2022-10-20 00:00:00;1969-12-31 00:00:00;4;123;763;883;-1/0;web.windowsstore;0;NUrdW7SznK;1
AnAawe6pFC;Wood;guiness13;523;5;1388711;2655;0;Forest World;United Earth;Human;0;2023-05-08 00:00:00;;3;123;-923;85;1/0;android.gplay;0;DyMiwE4N;1
BHIg51Biwc;Up Link;uplink25;99169;2;11587088112;116842;1;Red Planet;United Earth;Human;1;2021-12-09 00:00:00;2023-04-20 00:00:00;4;123;165;860;0/-1;web.apewebapps;0;nCKL90Hh;1
bpR0ZamQDK;Hydraxium;ToxicHydra;8615;1;51195367;5943;0;Red Planet;United Earth;Human;1;2023-05-05 00:00:00;2023-05-08 00:00:00;3;123;-764;728;0/0;android.gplay;0;hz22MAQlHN;1
bXnFjEsBqi;Deutsch Republic;calvinprox;61586497;0;498256593107874940;8090354499;3;Forest World;United Earth;Human;1;2019-10-20 00:00:00;2019-11-05 00:00:00;4;100;934;-138;-1/0;steam.windows;1;earth;1
CrbmMKmNgr;New Delfino Island;pieterman2;832;4;2785888;3348;0;Earthlike;United Earth;Human;0;2023-05-08 00:00:00;;3;123;849;936;73/12;steam.windows;0;nxZi6NL3Uq;1
