Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
LBGC3xk5Fh;Alhap;Sailorcast;23;30;1007950;43824;0;Red Planet;Alpha Draconians;Reptilian;0;2023-03-10 00:00:00;;0;123;-413;989;39/-35;android.gplay;0;draconian;1
LBlNvuH0NF;Stum;Stoney;43466;27;498741139;11474;0;Red Planet;United Earth;Human;1;2023-01-01 00:00:00;2023-01-03 00:00:00;4;123;-629;-587;0/1;android.gplay;0;HFnfUtJVYA;0
lBvQIEBAQG;KiVi LC;Kikivikivikikivi;10223;76;40695956;3981;0;Lunar;United Earth;Human;0;2021-08-08 00:00:00;;3;;584;896;-24/-52;android.gplay;0;;0
lC2pmHWKG6;Morn Paradise;imhotep19;71094;7;1345896765;18931;0;Red Planet;United Earth;Human;0;2021-01-29 00:00:00;;4;123;-699;32;1/0;desktop.windows;0;ImUVv7fb;0
LcDlPqGlBU;My Colony;jserbus;12;33;22867;1906;0;Forest World;United Earth;Human;0;2023-01-13 00:00:00;;3;123;-947;728;52/-39;desktop.windows;0;6uHQ4QwvB8;0
LchI3a3MXi;Evermore ;AnchoredGypsy;10965;10;35077835;3199;0;Lunar;United Earth;Human;0;2023-02-02 00:00:00;;3;123;-58;564;0/0;ios.appstore;0;IvwKkU5khK;1
lCkSMCXlJV;Untouchable;Supreme;791;26;609569254;770631;0;Lava World;Alpha Draconians;Reptilian;1;2023-03-16 00:00:00;2023-03-17 00:00:00;4;123;928;-922;106/-86;android.gplay;0;IvZBXsd3;1
LCqrDCG6G6;Phobos;therealchromedino;5;60;25200;5040;0;Asteroid;League of Independent States;Human;0;2023-02-07 00:00:00;;0;100;-407;316;-1/-2;web.apeappslauncher;0;JToM4LpC6Q;1
ldf57gIQLP;avatar.jpg;TheFinalDawn;14;0;106577;7613;0;Water World;League of Independent States;Human;0;2023-03-14 00:00:00;;3;100;-183;311;-1/-2;android.gplay;0;qKAH6qPEbK;0
lDhvkOTqkC;My Colony;Gible;10028;28;10841372;1081;0;Red Planet;United Earth;Human;1;2023-03-15 00:00:00;2023-03-16 00:00:00;2;123;450;-67;0/1;ios.appstore;0;hz22MAQlHN;0
Ldjk54v0qw;Faydwer;fezzic181;4136;0;21535670;5207;0;Ice World;League of Independent States;Human;0;2022-12-29 00:00:00;;2;123;43;-180;-1/-2;steam.windows;0;lis;0
ldnRAQJTfT;Alpha 9999;Christonetworks;35425;52;154808028580;4370022;1;Water World;Alpha Draconians;Reptilian;1;2022-02-09 00:00:00;2022-10-07 00:00:00;3;;-340;911;-7/-92;web.windowsstore;0;;0
